Symbol,Asset Class,Category,Gross Expense Ratio,Shareholder Fees
HDGYX,Stock Investments,Large Cap,0.0064,No additional fees apply.
VIGIX,Stock Investments,Large Cap,0.0008,No additional fees apply.
VINIX,Stock Investments,Large Cap,0.0004,No additional fees apply.
TMDIX,Stock Investments,Mid-Cap,0.0104,No additional fees apply.
BGRIX,Stock Investments,Mid-Cap,0.0104,No additional fees apply.
FLMVX,Stock Investments,Mid-Cap,0.0094,No additional fees apply.
GSSIX,Stock Investments,Small Cap,0.01,No additional fees apply.
DODFX,Stock Investments,International,0.0064,No additional fees apply.
AIEVX,Stock Investments,International,0.0099,No additional fees apply.
VTSNX,Stock Investments,International,0.0012,No additional fees apply.
REAIX,Stock Investments,Specialty,0.0094,No additional fees apply.
VIRTX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VITVX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VITWX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VRIVX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VTTWX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VITFX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VIRSX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VITLX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VTRLX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VIVLX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VILVX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
VITRX,Blended Fund Investments*,N/A,0.001,No additional fees apply.
FEHIX,Bond Investments,Income,0.0086,No additional fees apply.
MWTIX,Bond Investments,Income,0.0044,No additional fees apply
